UAD 4K Buss Compressor;UAD 4K Buss Compressor;;;
UAD 4K Channel Strip;UAD 4K Channel Strip;;;
UAD ADA STD-1 Stereo Tapped Delay;UAD ADA STD-1 Stereo Tapped Delay;;;
UAD AKG BX 20 Spring Reverb;UAD AKG BX 20;;;
UAD Ampeg B15N Bass Amplifier;UAD Ampeg B15N;;;
UAD Ampeg SVT-3 Pro Bass Amplifier;UAD Ampeg SVT3Pro;;;
UAD Ampeg SVT-VR Bass Amplifier;UAD Ampeg SVTVR;;;
UAD Ampex ATR-102 Tape Recorder;UAD Ampex ATR-102;;;
UAD AMS RMX16 Digital Reverb;UAD AMS RMX16;;;
UAD AMS RMX16 Expanded Digital Reverb;UAD AMS RMX16 Expanded;;;
UAD Antares Auto-Tune Realtime;UAD Antares Auto-Tune Realtime;;;
UAD API 2500 Bus Compressor;UAD API 2500;;;
UAD API 500 EQ Collection;UAD API 550A;UAD API 560;;
UAD API Vision Channel Strip;UAD API Vision Channel Strip;;;
UAD Bermuda Triangle Distortion;UAD Bermuda Triangle;;;
UAD Brigade Chorus;UAD Brigade Chorus;;;
UAD bx_digital V2 EQ;UAD bx_digital V2;UAD bx_digital V2 Mono;;
UAD bx_digital V3 EQ Collection;UAD bx_digital V3;UAD bx_digital V3 mix;;
UAD bx_refinement;UAD bx_refinement;;;
UAD bx_saturator V2;UAD bx_saturator V2;;;
UAD bx_subsynth Subharmonic Synth;UAD bx_subsynth;;;
UAD bx_tuner;UAD bx_tuner;;;
UAD Cambridge EQ;UAD Cambridge;;;
UAD Chandler GAV19T Guitar Amplifier;UAD Chandler GAV19T;;;
UAD Chandler Limited Curve Bender EQ;UAD Chandler Limited Curve Bender;;;
UAD Chandler Limited Zener Limiter;UAD Chandler Limited Zener Limiter;;;
UAD Cooper Time Cube Delay;UAD Cooper Time Cube;;;
UAD Dangerous BAX EQ Collection;UAD Dangerous BAX EQ Master;UAD Dangerous BAX EQ Mix;;
UAD dbx 160 Compressor;UAD dbx 160;;;
UAD DreamVerb Room Modeler;UAD DreamVerb;;;
UAD Dytronics Cyclosonic Panner;UAD Dytronics Cyclosonic Panner;;;
UAD Dytronics Tri-Stereo Chorus;UAD Dytronics Tri-Stereo Chorus;;;
UAD Eden WT800 Bass Amplifier;UAD Eden WT800;;;
UAD elysia alpha compressor;UAD elysia alpha master;UAD elysia alpha mix;;
UAD elysia mpressor;UAD elysia mpressor;;;
UAD Empirical Labs EL7 FATSO Compressor;UAD Empirical Labs FATSO Jr;UAD Empirical Labs FATSO Sr;;
UAD Empirical Labs EL8 Distressor Compressor;UAD Empirical Labs Distressor;;;
UAD EMT 140 Plate Reverb;UAD EMT 140;;;
UAD EMT 250 Digital Reverb;UAD EMT 250;;;
UAD ENGL 646 VS Guitar Amplifier;UAD ENGL E646 VS;;;
UAD ENGL 765 RT Guitar Amplifier;UAD ENGL E765 RT;;;
UAD ENGL Savage 120 Guitar Amplifier;UAD ENGL Savage 120;;;
UAD EP-34 Tape Echo;UAD EP-34 Tape Echo;;;
UAD Eventide H910 Harmonizer;UAD Eventide H910 Harmonizer;;;
UAD Fairchild 670 Legacy Limiter;UAD Fairchild 670 Legacy;;;
UAD Fairchild Tube Limiter Collection;UAD Fairchild 660;UAD Fairchild 670;;
UAD Fender 55 Tweed Deluxe Amplifier;UAD Fender 55 Tweed Deluxe;;;
UAD Friedman Amplifiers Collection;UAD Friedman BE100;UAD Friedman DS40;;
UAD Fuchs Overdrive Supreme 50 Amplifier;UAD Fuchs Overdrive Supreme 50;;;
UAD Fuchs Train II Guitar Amplifier;UAD Fuchs Train II;;;
UAD Galaxy Tape Echo;UAD Galaxy Tape Echo;;;
UAD Gallien-Krueger 800RB Bass Amplifier;UAD Gallien Krueger 800RB;;;
